n,k,lambda,mu
85,30,11,10
99,42,21,15
100,33,8,12
100,33,14,9
105,40,15,15
111,30,5,9
112,36,10,12
115,18,1,3
117,58,28,29
120,34,8,10
120,35,10,10
121,36,7,12
121,48,17,20
125,48,28,12
133,24,5,4
133,32,6,8
133,44,15,14
136,30,8,6
145,72,35,36
148,63,22,30
153,56,19,21
154,48,12,16
162,21,0,3
162,23,4,3
162,49,16,14
169,36,13,6
169,42,5,12
169,56,15,20
169,70,27,30
171,34,17,4
171,50,13,15
175,30,5,5
176,25,0,4
176,40,12,8
176,70,24,30
176,70,42,18
184,48,2,16
189,48,12,12
189,60,27,15
189,88,37,44
190,36,18,4
190,45,12,10
190,84,33,40
190,84,38,36
190,90,45,40
196,26,12,2
196,39,2,9
196,39,14,6
196,45,4,12
196,52,18,12
196,65,24,20
196,75,26,30
196,81,42,27
196,85,18,51
196,90,40,42
